Magadino-Cadenazzo
Messstation Nr.:  11
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 04 10 10     56.00      0.20
2022 01 04 10 20     48.00      0.30
2022 01 04 10 30    139.00      0.20
2022 01 04 10 40    121.00      0.80
2022 01 04 10 50     52.00      1.40
2022 01 04 11 00     41.00      1.50
2022 01 04 11 10     54.00      0.80
2022 01 04 11 20     65.00      0.40
2022 01 04 11 30    119.00      0.60
2022 01 04 11 40     95.00      1.00
2022 01 04 11 50     99.00      1.00
2022 01 04 12 00     80.00      1.10
2022 01 04 12 10     84.00      0.60
2022 01 04 12 20    112.00      0.10
2022 01 04 12 30    172.00      0.20
2022 01 04 12 40    205.00      0.20
2022 01 04 12 50    210.00      0.40
2022 01 04 13 00    220.00      0.10
2022 01 04 13 10    206.00      0.20
2022 01 04 13 20    198.00      0.60
2022 01 04 13 30    225.00      0.70
2022 01 04 13 40    245.00      0.70
2022 01 04 13 50    236.00      0.70
2022 01 04 14 00    326.00      0.40
2022 01 04 14 10    333.00      0.30
2022 01 04 14 20    256.00      0.40
2022 01 04 14 30    211.00      0.70
2022 01 04 14 40    202.00      0.50
2022 01 04 14 50    247.00      0.70
2022 01 04 15 00    269.00      0.80
2022 01 04 15 10    265.00      0.50
2022 01 04 15 20    224.00      0.20
2022 01 04 15 30    216.00      0.30
2022 01 04 15 40    200.00      0.80
2022 01 04 15 50    295.00      0.40
2022 01 04 16 00    305.00      0.90
2022 01 04 16 10    327.00      0.60
2022 01 04 16 20    344.00      0.20
2022 01 04 16 30    277.00      0.20
2022 01 04 16 40    191.00      0.30
2022 01 04 16 50    194.00      0.50
2022 01 04 17 00    203.00      0.70
2022 01 04 17 10    221.00      0.80
2022 01 04 17 20    254.00      0.30
2022 01 04 17 30    310.00      0.30
2022 01 04 17 40    353.00      1.10
2022 01 04 17 50    333.00      0.40
2022 01 04 18 00    191.00      0.50
2022 01 04 18 10    157.00      0.30
2022 01 04 18 20    207.00      0.50
2022 01 04 18 30    257.00      0.90
2022 01 04 18 40    284.00      1.00
2022 01 04 18 50    347.00      0.60
2022 01 04 19 00     23.00      0.20
2022 01 04 19 10    147.00      0.30
2022 01 04 19 20    181.00      1.00
2022 01 04 19 30     94.00      0.40
2022 01 04 19 40     39.00      0.50
2022 01 04 19 50     71.00      0.30
2022 01 04 20 00    139.00      0.60
2022 01 04 20 10    155.00      0.20
2022 01 04 20 20     28.00      0.40
2022 01 04 20 30     18.00      0.50
2022 01 04 20 40     40.00      0.40
2022 01 04 20 50    151.00      0.50
2022 01 04 21 00    147.00      0.60
2022 01 04 21 10     87.00      0.90
2022 01 04 21 20     92.00      1.20
2022 01 04 21 30     83.00      1.30
2022 01 04 21 40    109.00      1.00
2022 01 04 21 50     92.00      0.30
2022 01 04 22 00     11.00      0.70
2022 01 04 22 10     11.00      0.40
2022 01 04 22 20    137.00      0.50
2022 01 04 22 30    121.00      0.60
2022 01 04 22 40    142.00      0.30
2022 01 04 22 50    222.00      0.40
2022 01 04 23 00    232.00      0.20
2022 01 04 23 10      6.00      0.70
2022 01 04 23 20     34.00      0.90
2022 01 04 23 30    135.00      0.90
2022 01 04 23 40    124.00      1.40
2022 01 04 23 50    100.00      0.50
2022 01 04 24 00    104.00      0.10
2022 01 05 00 10    319.00      0.10
2022 01 05 00 20    337.00      0.30
