Lausanne-César-Roux
Messstation Nr.:   9
MM10               vom 01.01.2022  00:10 Uhr
                   bis 31.12.2022  24:00 Uhr
Bezeichnung der Datenkolonnen:
Kol Messobjekt  MSNR  Einheit  Position  Text
  1 Jahr           -  -          1-  4   Jahr
  2 Monat          -  -          6-  7   Monat
  3 Tag            -  -          9- 10   Tag
  4 Stunde         -  -         12- 13   Stunde
  5 Minute         -  -         15- 16   Minute
  6 WIRI           -  Grad      18- 27   Windrichtung
  7 WIGE           -  m/s       28- 37   Windgeschwindigkeit
Ausgefallene Werte werden durch den Wert -9999 gekennzeichnet.
X
2022 01 04 03 10    275.43      4.00
2022 01 04 03 20    277.28      3.74
2022 01 04 03 30    282.03      3.76
2022 01 04 03 40    275.97      3.35
2022 01 04 03 50    276.26      3.57
2022 01 04 04 00    277.13      3.32
2022 01 04 04 10    276.75      3.12
2022 01 04 04 20    277.97      3.15
2022 01 04 04 30    273.28      2.20
2022 01 04 04 40    277.31      2.46
2022 01 04 04 50    276.02      1.67
2022 01 04 05 00    355.67      0.84
2022 01 04 05 10    310.84      0.85
2022 01 04 05 20    276.74      1.58
2022 01 04 05 30    291.50      1.12
2022 01 04 05 40    301.85      1.79
2022 01 04 05 50    270.27      1.70
2022 01 04 06 00    274.05      1.55
2022 01 04 06 10    229.41      1.05
2022 01 04 06 20    121.71      0.65
2022 01 04 06 30     69.72      0.54
2022 01 04 06 40    280.24      1.46
2022 01 04 06 50    270.98      0.99
2022 01 04 07 00    274.20      0.61
2022 01 04 07 10    245.68      0.65
2022 01 04 07 20     55.28      0.65
2022 01 04 07 30      5.40      0.60
2022 01 04 07 40    247.93      1.34
2022 01 04 07 50    217.71      1.21
2022 01 04 08 00    255.09      0.54
2022 01 04 08 10    276.45      0.73
2022 01 04 08 20     96.65      0.74
2022 01 04 08 30    250.38      1.17
2022 01 04 08 40    283.91      1.22
2022 01 04 08 50    283.74      1.04
2022 01 04 09 00    316.54      1.01
2022 01 04 09 10    311.02      0.74
2022 01 04 09 20    325.39      0.65
2022 01 04 09 30    354.74      0.58
2022 01 04 09 40     98.03      0.86
2022 01 04 09 50    289.54      1.74
2022 01 04 10 00    272.64      1.58
2022 01 04 10 10    283.71      1.54
2022 01 04 10 20    282.08      1.71
2022 01 04 10 30    247.01      1.16
2022 01 04 10 40    275.07      0.63
2022 01 04 10 50    279.23      1.42
2022 01 04 11 00    290.73      0.79
2022 01 04 11 10    294.39      1.19
2022 01 04 11 20    288.60      1.65
2022 01 04 11 30    278.61      2.18
2022 01 04 11 40    277.09      2.57
2022 01 04 11 50    277.71      1.90
2022 01 04 12 00    275.20      2.27
2022 01 04 12 10    265.17      1.83
2022 01 04 12 20    279.80      2.26
2022 01 04 12 30    282.73      1.53
2022 01 04 12 40    281.13      2.18
2022 01 04 12 50    277.22      2.68
2022 01 04 13 00    281.84      2.16
2022 01 04 13 10    274.53      2.39
2022 01 04 13 20    271.88      2.02
2022 01 04 13 30    276.37      2.27
2022 01 04 13 40    278.36      2.94
2022 01 04 13 50    277.92      3.26
2022 01 04 14 00    274.85      3.66
2022 01 04 14 10    274.16      3.45
2022 01 04 14 20    266.16      3.20
2022 01 04 14 30    270.34      2.68
2022 01 04 14 40    274.47      4.21
2022 01 04 14 50    274.48      4.11
2022 01 04 15 00    274.92      4.68
2022 01 04 15 10    276.55      5.23
2022 01 04 15 20    278.08      4.79
2022 01 04 15 30    270.87      3.90
2022 01 04 15 40    274.63      4.46
2022 01 04 15 50    273.54      3.73
2022 01 04 16 00    272.39      3.99
2022 01 04 16 10    272.44      4.05
2022 01 04 16 20    270.96      4.45
2022 01 04 16 30    274.30      3.98
2022 01 04 16 40    273.68      3.90
2022 01 04 16 50    275.90      4.84
2022 01 04 17 00    272.53      4.91
2022 01 04 17 10    272.53      4.42
2022 01 04 17 20    276.89      4.90
2022 01 04 17 30    276.01      5.86
2022 01 04 17 40    278.55      6.02
2022 01 04 17 50    272.12      5.37
2022 01 04 18 00    272.13      5.27
2022 01 04 18 10    275.67      4.64
2022 01 04 18 20    277.29      5.61
2022 01 04 18 30    277.45      4.87
2022 01 04 18 40    277.92      5.62
2022 01 04 18 50    277.09      5.97
2022 01 04 19 00    276.52      5.20
2022 01 04 19 10    276.63      5.40
2022 01 04 19 20    275.52      5.82
2022 01 04 19 30    267.92      4.48
2022 01 04 19 40    268.79      3.89
2022 01 04 19 50    271.50      3.89
2022 01 04 20 00    271.32      4.09
2022 01 04 20 10    273.17      3.93
2022 01 04 20 20    277.93      4.04
